# data for radioactive decay of F-18
# time (seconds), counts
0.0, 1021.0
100.0, 996.0
200.0, 978.0
300.0, 975.0
400.0, 1012.0
500.0, 960.0
600.0, 977.0
700.0, 899.0
800.0, 947.0
900.0, 926.0
1000.0, 882.0
1100.0, 898.0
1200.0, 894.0
1300.0, 898.0
1400.0, 855.0
1500.0, 821.0
1600.0, 857.0
1700.0, 793.0
1800.0, 823.0
1900.0, 806.0
2000.0, 776.0
2100.0, 808.0
2200.0, 775.0
2300.0, 808.0
2400.0, 755.0
2500.0, 737.0
2600.0, 742.0
2700.0, 776.0
2800.0, 751.0
2900.0, 710.0
3000.0, 752.0
3100.0, 705.0
3200.0, 747.0
3300.0, 748.0
3400.0, 664.0
3500.0, 645.0
3600.0, 710.0
3700.0, 706.0
3800.0, 675.0
3900.0, 698.0
4000.0, 660.0
4100.0, 651.0
4200.0, 659.0
4300.0, 618.0
4400.0, 624.0
4500.0, 633.0
4600.0, 647.0
4700.0, 642.0
4800.0, 563.0
4900.0, 606.0
5000.0, 594.0
5100.0, 561.0
5200.0, 552.0
5300.0, 577.0
5400.0, 581.0
5500.0, 565.0
5600.0, 546.0
5700.0, 566.0
5800.0, 526.0
5900.0, 564.0
6000.0, 530.0
6100.0, 514.0
6200.0, 514.0
6300.0, 487.0
6400.0, 497.0
6500.0, 483.0
6600.0, 483.0
6700.0, 497.0
6800.0, 453.0
6900.0, 475.0
7000.0, 480.0
7100.0, 456.0
7200.0, 445.0
7300.0, 454.0
7400.0, 462.0
7500.0, 465.0
7600.0, 440.0
7700.0, 461.0
7800.0, 423.0
7900.0, 413.0
8000.0, 416.0
8100.0, 436.0
8200.0, 423.0
8300.0, 399.0
8400.0, 431.0
8500.0, 417.0
8600.0, 389.0
8700.0, 375.0
8800.0, 433.0
8900.0, 390.0
9000.0, 408.0
9100.0, 402.0
9200.0, 355.0
9300.0, 350.0
9400.0, 373.0
9500.0, 361.0
9600.0, 393.0
9700.0, 336.0
9800.0, 347.0
9900.0, 338.0
10000.0, 343.0
10100.0, 350.0
10200.0, 332.0
10300.0, 315.0
10400.0, 322.0
10500.0, 332.0
10600.0, 358.0
10700.0, 317.0
10800.0, 313.0
10900.0, 316.0
11000.0, 329.0
11100.0, 276.0
11200.0, 297.0
11300.0, 297.0
11400.0, 292.0
11500.0, 327.0
11600.0, 330.0
11700.0, 287.0
11800.0, 281.0
11900.0, 271.0
12000.0, 278.0
12100.0, 314.0
12200.0, 265.0
12300.0, 275.0
12400.0, 274.0
12500.0, 281.0
12600.0, 264.0
12700.0, 286.0
12800.0, 273.0
12900.0, 279.0
13000.0, 259.0
13100.0, 249.0
13200.0, 223.0
13300.0, 240.0
13400.0, 251.0
13500.0, 257.0
13600.0, 268.0
13700.0, 262.0
13800.0, 226.0
13900.0, 221.0
14000.0, 239.0
14100.0, 223.0
14200.0, 229.0
14300.0, 214.0
14400.0, 201.0
14500.0, 233.0
14600.0, 230.0
14700.0, 208.0
14800.0, 239.0
14900.0, 202.0
15000.0, 229.0
15100.0, 204.0
15200.0, 217.0
15300.0, 190.0
15400.0, 200.0
15500.0, 177.0
15600.0, 218.0
15700.0, 212.0
15800.0, 188.0
15900.0, 199.0
16000.0, 175.0
16100.0, 202.0
16200.0, 200.0
16300.0, 176.0
16400.0, 177.0
16500.0, 166.0
16600.0, 188.0
16700.0, 164.0
16800.0, 174.0
16900.0, 166.0
17000.0, 165.0
17100.0, 184.0
17200.0, 162.0
17300.0, 175.0
17400.0, 149.0
17500.0, 149.0
17600.0, 161.0
17700.0, 166.0
17800.0, 157.0
17900.0, 158.0
18000.0, 157.0
18100.0, 130.0
18200.0, 167.0
18300.0, 127.0
18400.0, 134.0
18500.0, 157.0
18600.0, 149.0
18700.0, 145.0
18800.0, 130.0
18900.0, 121.0
19000.0, 139.0
19100.0, 145.0
19200.0, 130.0
19300.0, 149.0
19400.0, 114.0
19500.0, 130.0
19600.0, 138.0
19700.0, 133.0
19800.0, 115.0
19900.0, 103.0
20000.0, 118.0
20100.0, 117.0
20200.0, 105.0
20300.0, 119.0
20400.0, 142.0
20500.0, 107.0
20600.0, 104.0
20700.0, 119.0
20800.0, 110.0
20900.0, 105.0
21000.0, 103.0
21100.0, 117.0
21200.0, 122.0
21300.0, 108.0
21400.0, 94.0
21500.0, 109.0
21600.0, 107.0
21700.0, 118.0
21800.0, 113.0
21900.0, 94.0
22000.0, 93.0
22100.0, 104.0
22200.0, 100.0
22300.0, 100.0
22400.0, 105.0
22500.0, 92.0
22600.0, 84.0
22700.0, 75.0
22800.0, 92.0
22900.0, 84.0
23000.0, 93.0
23100.0, 88.0
23200.0, 98.0
23300.0, 88.0
23400.0, 100.0
23500.0, 84.0
23600.0, 96.0
23700.0, 72.0
23800.0, 85.0
23900.0, 88.0
24000.0, 68.0
24100.0, 75.0
24200.0, 66.0
24300.0, 89.0
24400.0, 71.0
24500.0, 81.0
24600.0, 68.0
24700.0, 79.0
24800.0, 72.0
24900.0, 64.0
25000.0, 67.0
25100.0, 73.0
25200.0, 75.0
25300.0, 88.0
25400.0, 79.0
25500.0, 70.0
25600.0, 59.0
25700.0, 76.0
25800.0, 72.0
25900.0, 65.0
26000.0, 55.0
26100.0, 70.0
26200.0, 70.0
26300.0, 67.0
26400.0, 58.0
26500.0, 62.0
26600.0, 60.0
26700.0, 61.0
26800.0, 82.0
26900.0, 50.0
27000.0, 45.0
27100.0, 56.0
27200.0, 64.0
27300.0, 57.0
27400.0, 69.0
27500.0, 48.0
27600.0, 65.0
27700.0, 56.0
27800.0, 54.0
27900.0, 64.0
